?s	?name
<http://lod4all.net/resource/financial/fdicCert-57899>	"1st Advantage Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22039>	"1st Bank"@en
<http://lod4all.net/resource/financial/fdicCert-16419>	"1st Bank & Trust"@en
<http://lod4all.net/resource/financial/fdicCert-57298>	"1st Bank Yuma"@en
<http://lod4all.net/resource/financial/fdicCert-32487>	"1st Cameron State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58485>	"1st Capital Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27552>	"1st Constitution Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57611>	"1st Equity Bank Northwest"@en
<http://lod4all.net/resource/financial/fdicCert-58548>	"1st Manatee Bank"@en
<http://lod4all.net/resource/financial/fdicCert-6646>	"1st National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57633>	"1st Security Bank Of Washington"@en
<http://lod4all.net/resource/financial/fdicCert-9087>	"1st Source Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57626>	"1st State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57869>	"1st Trust Bank, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-31249>	"1st United Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9751>	"21st Century Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35029>	"Ab&T National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-32257>	"Abacus Federal Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30332>	"Abbeville Building & Loan (A State-Chartered Savings Bank)"@en
<http://lod4all.net/resource/financial/fdicCert-30619>	"Abbeville First Bank, Ssb"@en
<http://lod4all.net/resource/financial/fdicCert-19795>	"Abbybank"@en
<http://lod4all.net/resource/financial/fdicCert-26549>	"Abington Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4061>	"Acb Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58727>	"Access Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58562>	"Accessbank Texas"@en
<http://lod4all.net/resource/financial/fdicCert-18489>	"Adams Bank & Trust"@en
<http://lod4all.net/resource/financial/fdicCert-90140>	"Adams Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14311>	"Adams County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-32304>	"Adams County Building And Loan Company"@en
<http://lod4all.net/resource/financial/fdicCert-58697>	"Adams Dairy Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9812>	"Adams State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-28380>	"Adirondack Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8251>	"Adrian Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8822>	"Adrian State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57072>	"Advantage Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10375>	"Advantage Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34885>	"Affiliated Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57264>	"Affinity Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35314>	"Alamerica Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34106>	"Albina Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9831>	"Alden State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-3931>	"Alerus Financial, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-58629>	"Allegiance Bank Texas"@en
<http://lod4all.net/resource/financial/fdicCert-10973>	"Alliance Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11569>	"Alliance Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12511>	"Alliance Bank"@en
<http://lod4all.net/resource/financial/fdicCert-197>	"Alliance Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34566>	"Alliance Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57733>	"Alliance Bank & Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-15657>	"Alliance Bank Central Texas"@en
<http://lod4all.net/resource/financial/fdicCert-1946>	"Alliant Bank"@en
<http://lod4all.net/resource/financial/fdicCert-55130>	"Allied First Bank,sb"@en
<http://lod4all.net/resource/financial/fdicCert-4051>	"Allnations Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57803>	"Ally Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58424>	"Alma Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15699>	"Alma Exchange Bank & Trust"@en
<http://lod4all.net/resource/financial/fdicCert-15426>	"Almena State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-59060>	"Alostar Bank Of Commerce"@en
<http://lod4all.net/resource/financial/fdicCert-35377>	"Alpine Capital Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19590>	"Altamaha Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-58275>	"Altapacific Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8276>	"Alton Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27711>	"Altoona First Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9465>	"Alva State Bank & Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-622>	"Amalgamated Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14531>	"Amarillo National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-6423>	"Amboy Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8893>	"America's Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-20311>	"American Bank"@en
<http://lod4all.net/resource/financial/fdicCert-1117>	"American Bank & Trust"@en
<http://lod4all.net/resource/financial/fdicCert-35568>	"American Bank & Trust Company, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-31980>	"American Bank & Trust Of The Cumberlands"@en
<http://lod4all.net/resource/financial/fdicCert-6183>	"American Bank & Trust Wisconsin"@en
<http://lod4all.net/resource/financial/fdicCert-20537>	"American Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-34955>	"American Bank And Trust Company, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-22559>	"American Bank Center"@en
<http://lod4all.net/resource/financial/fdicCert-4624>	"American Bank Of Baxter Springs"@en
<http://lod4all.net/resource/financial/fdicCert-18609>	"American Bank Of Commerce"@en
<http://lod4all.net/resource/financial/fdicCert-34232>	"American Bank Of Commerce"@en
<http://lod4all.net/resource/financial/fdicCert-15423>	"American Bank Of Missouri"@en
<http://lod4all.net/resource/financial/fdicCert-34606>	"American Bank Of Oklahoma"@en
<http://lod4all.net/resource/financial/fdicCert-5216>	"American Bank Of The North"@en
<http://lod4all.net/resource/financial/fdicCert-20241>	"American Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-21567>	"American Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-23886>	"American Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-5800>	"American Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-57686>	"American Commerce Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-35033>	"American Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29878>	"American Community Bank Of Indiana"@en
<http://lod4all.net/resource/financial/fdicCert-57444>	"American Continental Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57359>	"American Eagle Bank"@en
